"symbol","name","price"
"NNVDA.BA","NVIDIA Corporation","11,230.00"
"AAAPL.BA","Apple Inc.","19,010.00"
"GGOOGL.BA","Alphabet Inc.","7,785.00"
"BBABA.BA","Alibaba Group Holding Limited","25,260.00"
"MMSFT.BA","Microsoft Corporation","19,750.00"
"CC.BA","Citigroup Inc.","54,300.00"
"AAMZN.BA","Amazon.com, Inc.","2,041.00"
"TTSLA.BA","Tesla, Inc.","41,260.00"
"TTM.BA","Toyota Motor Corporation","24,240.00"
"WWMT.BA","Walmart Inc.","10,930.00"
"BBRKB.BA","Berkshire Hathaway Inc.","33,460.00"
"LLLY.BA","Eli Lilly and Company","27,380.00"
"DDJNJ3.BA","Johnson & Johnson","2,880.00"
"SSAN.BA","Banco Santander, S.A.","69,425.00"
"JJPM.BA","JPMorgan Chase & Co.","29,680.00"
"VV.BA","Visa Inc.","25,720.00"
"JJNJ.BA","Johnson & Johnson","23,920.00"
"BBCS.BA","Barclays PLC","37,000.00"
"OORCL.BA","Oracle Corporation","79,000.00"
"CCOST.BA","Costco Wholesale Corporation","31,040.00"
"AABBV.BA","AbbVie Inc.","34,060.00"
"VVOD.BA","Vodafone Group Public Limited Company","22,810.00"
"HHD.BA","The Home Depot, Inc.","17,980.00"
"TTSM.BA","Taiwan Semiconductor Manufacturing Company Limited","60,025.00"
"AAMD.BA","Advanced Micro Devices, Inc.","30,520.00"
"CCAT.BA","Caterpillar Inc.","57,075.00"
"GGE.BA","General Electric Company","57,825.00"
"LLRCX.BA","Lam Research Corporation","6,280.00"
"HHSBC.BA","HSBC Holdings plc","62,625.00"
"CCSCO.BA","Cisco Systems, Inc.","22,680.00"
"MMRK.BA","Merck & Co., Inc.","35,700.00"
"GGS.BA","The Goldman Sachs Group, Inc.","102,100.00"
"AAMAT.BA","Applied Materials, Inc.","105,450.00"
"SSAP.BA","SAP SE","50,400.00"
"AAXP.BA","American Express Company","33,240.00"
"SSHEL.BA","Shell plc","57,825.00"
"IINTC.BA","Intel Corporation","13,780.00"
"IIBM.BA","International Business Machines Corporation","25,820.00"
"PPEP.BA","PepsiCo, Inc.","13,580.00"
"MMCD.BA","McDonald's Corporation","20,150.00"
"PPBR.BA","Petróleo Brasileiro S.A. - Petrobras","22,330.00"
"TTXN.BA","Texas Instruments Incorporated","66,600.00"
"TT.BA","AT&T Inc.","14,000.00"
"BBHP.BA","BHP Group Limited","53,825.00"
"BBA.BA","The Boeing Company","14,780.00"
"CCRM.BA","Salesforce, Inc.","15,540.00"
"AABT.BA","Abbott Laboratories","41,220.00"
"HHDB.BA","HDFC Bank Limited","23,800.00"
"AADI.BA","Analog Devices, Inc.","33,200.00"
"SSCCO.BA","Southern Copper Corporation","145,975.00"
"PPFE.BA","Pfizer Inc.","10,200.00"
"DDE.BA","Deere & Company","22,200.00"
"RRIO.BA","Rio Tinto Group","17,980.00"
"QQCOM.BA","QUALCOMM Incorporated","18,910.00"
"AABEV.BA","Ambev S.A.","13,640.00"
"LLMT.BA","Lockheed Martin Corporation","47,980.00"
"BBBV.BA","Banco Bilbao Vizcaya Argentaria, S.A.","33,300.00"
"HHON.BA","Honeywell International Inc.","44,300.00"
"BBPA11.BA","Banco BTG Pactual S.A.","16,750.00"
"NNEM.BA","Newmont Corporation","61,775.00"
"DDISN.BA","The Walt Disney Company","12,890.00"
"HHMC.BA","Honda Motor Co., Ltd.","46,800.00"
"SSPGI.BA","S&P Global Inc.","13,330.00"
"MMDT.BA","Medtronic plc","36,760.00"
"BBMY.BA","Bristol-Myers Squibb Company","29,700.00"
"GGSK.BA","GSK plc","21,650.00"
"IIBN.BA","ICICI Bank Limited","45,080.00"
"AADBE.BA","Adobe Inc.","8,815.00"
"PPLTR.BA","Palantir Technologies Inc.","64,675.00"
"SSBUX.BA","Starbucks Corporation","11,480.00"
"IITUB.BA","Itaú Unibanco Holding S.A.","13,340.00"
"PPETR3.BA","Petróleo Brasileiro S.A. - Petrobras","11,110.00"
"HHWM.BA","Howmet Aerospace Inc.","367,975.00"
"BBP.BA","BP p.l.c.","11,040.00"
"AAEM.BA","Agnico Eagle Mines Limited","53,000.00"
"MMELI.BA","MercadoLibre, Inc.","24,230.00"
"IITUB3.BA","Itaú Unibanco Holding S.A.","12,510.00"
"NNGG.BA","National Grid plc","67,900.00"
"NNKE.BA","NIKE, Inc.","7,730.00"
"FFCX.BA","Freeport-McMoRan Inc.","30,840.00"
"AADP.BA","Automatic Data Processing, Inc.","52,200.00"
"LLYG.BA","Lloyds Banking Group plc","4,092.50"
"MMRSH.BA","Marsh & McLennan Companies, Inc.","16,020.00"
"FFDX.BA","FedEx Corporation","55,175.00"
"IING.BA","ING Groep N.V.","13,860.00"
"AAZN.BA","AstraZeneca PLC","75,275.00"
"GGM.BA","General Motors Company","19,970.00"
"MMSI.BA","Motorola Solutions, Inc.","33,680.00"
"AAMX.BA","América Móvil, S.A.B. de C.V.","34,780.00"
"VVALE3.BA","Vale S.A.","24,360.00"
"CCL.BA","Colgate-Palmolive Company","47,220.00"
"MMETA.BA","Meta Platforms, Inc.","39,580.00"
"EE.BA","Eni S.p.A.","15,850.00"
"SSE.BA","Sea Limited","4,915.00"
"TTIMB.BA","TIM S.A.","38,160.00"
"RROST.BA","Ross Stores, Inc.","71,000.00"
"IINFY.BA","Infosys Limited","21,580.00"
"EEA.BA","Electronic Arts Inc.","21,010.00"
"VVIV.BA","Telefônica Brasil S.A.","23,030.00"
"TTGT.BA","Target Corporation","7,055.00"
"TTEN.BA","Tenaris S.A.","71,600.00"
"AABEV3.BA","Ambev S.A.","4,620.00"
"GGILD.BA","Gilead Sciences, Inc.","57,650.00"
"GGFI.BA","Gold Fields Limited","79,875.00"
"CCOIN.BA","Coinbase Global, Inc.","9,080.00"
"WWEGE3.BA","WEG S.A.","15,260.00"
"BBBD.BA","Banco Bradesco S.A.","5,855.00"
"BBIDU.BA","Baidu, Inc.","18,170.00"
"HHSY.BA","The Hershey Company","15,410.00"
"AAIG.BA","American International Group, Inc.","22,900.00"
"SSYY.BA","Sysco Corporation","16,710.00"
"KKGC.BA","Kinross Gold Corporation","50,575.00"
"SSBS.BA","Companhia de Saneamento Básico do Estado de São Paulo - SABESP","85,975.00"
"NNU.BA","Nu Holdings Ltd.","12,260.00"
"KKB.BA","KB Financial Group Inc.","84,175.00"
"AAVGO.BA","Broadcom Inc.","12,320.00"
"GGRMN.BA","Garmin Ltd.","105,300.00"
"NNVS.BA","Novartis AG","60,025.00"
"LLVS.BA","Las Vegas Sands Corp.","42,420.00"
"BBBDC3.BA","Banco Bradesco S.A.","5,025.00"
"PPYPL.BA","PayPal Holdings, Inc.","7,405.00"
"EEBAY.BA","eBay Inc.","60,525.00"
"JJD.BA","JD.com, Inc.","9,990.00"
"GGGB.BA","Gerdau S.A.","24,260.00"
"TTRVV.BA","The Travelers Companies, Inc.","72,325.00"
"NNMR.BA","Nomura Holdings, Inc.","14,040.00"
"KKEP.BA","Korea Electric Power Corporation","31,780.00"
"BBIIB.BA","Biogen Inc.","22,170.00"
"NNTES.BA","NetEase, Inc.","12,720.00"
"VVZ.BA","Verizon Communications Inc.","18,000.00"
"VVIVT3.BA","Telefônica Brasil S.A.","11,530.00"
"IIP.BA","International Paper Company","18,020.00"
"DDOW.BA","Dow Inc.","7,975.00"
"FFSLR.BA","First Solar, Inc.","18,550.00"
"PPAAS.BA","Pan American Silver Corp.","28,340.00"
"BBK.BA","The Bank of New York Mellon Corporation","86,450.00"
"SSBSP3.BA","Companhia de Saneamento Básico do Estado de São Paulo - SABESP","42,440.00"
"IIFF.BA","International Flavors & Fragrances Inc.","10,140.00"
"VVRSN.BA","VeriSign, Inc.","54,050.00"
"BBNG.BA","Bunge Global SA","35,900.00"
"NNG.BA","NovaGold Resources Inc.","63,250.00"
"CCAAP.BA","Corporación América Airports S.A.","165,725.00"
"TTTE.BA","TotalEnergies SE","37,620.00"
"SSID.BA","Companhia Siderúrgica Nacional","19,970.00"
"UUSB.BA","U.S. Bancorp","16,990.00"
"PPKS.BA","POSCO Holdings Inc.","32,180.00"
"TTCOM.BA","Trip.com Group Limited","39,960.00"
"VVALE.BA","Vale S.A.","12,200.00"
"HHPQ.BA","HP Inc.","28,520.00"
