"symbol","name","price"
"IITX.MC","Industria de Diseño Textil, S.A.","57.06"
"AAIR.MC","Airbus SE","192.50"
"SSAN.MC","Banco Santander, S.A.","10.03"
"IIBE.MC","Iberdrola, S.A.","20.06"
"BBBVA.MC","Banco Bilbao Vizcaya Argentaria, S.A.","19.11"
"XXPBR.MC","Petróleo Brasileiro S.A. - Petrobras","6.37"
"XXPBRA.MC","Petróleo Brasileiro S.A. - Petrobras","5.90"
"CCABK.MC","CaixaBank, S.A.","10.02"
"XXVALO.MC","Vale S.A.","13.91"
"FFER.MC","Ferrovial SE","61.28"
"AAENA.MC","Aena S.M.E., S.A.","27.69"
"MMTS.MC","ArcelorMittal S.A.","52.10"
"CCCEP.MC","Coca-Cola Europacific Partners PLC","84.10"
"XXBBDC.MC","Banco Bradesco S.A.","3.34"
"EELE.MC","Endesa, S.A.","31.62"
"XXNOR.MC","Grupo Financiero Banorte, S.A.B. de C.V.","10.90"
"AACS.MC","ACS, Actividades de Construcción y Servicios, S.A.","98.30"
"NNTGY.MC","Naturgy Energy Group, S.A.","26.12"
"IIAG.MC","International Consolidated Airlines Group S.A.","4.98"
"AAMS.MC","Amadeus IT Group, S.A.","48.84"
"TTEF.MC","Telefónica, S.A.","3.67"
"CCLNX.MC","Cellnex Telecom, S.A.","29.93"
"RREP.MC","Repsol, S.A.","16.99"
"PPUIG.MC","PUIG BRANDS, S.A. CLASE B","16.62"
"SSAB.MC","Banco de Sabadell, S.A.","3.13"
"BBKT.MC","Bankinter, S.A.","13.41"
"MMAP.MC","Mapfre, S.A.","3.82"
"AANA.MC","Acciona, S.A.","189.70"
"IIDR.MC","Indra Sistemas, S.A.","51.10"
"RRED.MC","Redeia Corporación, S.A.","15.98"
"MMRL.MC","MERLIN Properties SOCIMI, S.A.","13.34"
"GGRF.MC","Grifols, S.A.","10.95"
"AANE.MC","Corporación Acciona Energías Renovables, S.A.","21.50"
"XXGGB.MC","Gerdau S.A.","3.46"
"UUNI.MC","Unicaja Banco, S.A.","2.61"
"XXNEO.MC","Neoenergia S.A.","5.20"
"XXCMIG.MC","Companhia Energética de Minas Gerais - CEMIG","1.88"
"FFCC.MC","Fomento de Construcciones y Contratas, S.A.","11.24"
"FFDR.MC","Fluidra, S.A.","25.38"
"LLOG.MC","Logista Integral, S.A.","33.34"
"RROVI.MC","Laboratorios Farmaceuticos Rovi, S.A.","77.00"
"EENG.MC","Enagás, S.A.","15.02"
"SSCYR.MC","Sacyr, S.A.","4.40"
"CCIE.MC","CIE Automotive, S.A.","29.35"
"AACX.MC","Acerinox, S.A.","13.12"
"CCOL.MC","Colonial SFL, Socimi S. A.","5.22"
"VVID.MC","Vidrala, S.A.","86.70"
"AAPAM.MC","Aperam S.A.","41.96"
"EEBRO.MC","Ebro Foods, S.A.","19.40"
"GGRE.MC","Grenergy Renovables, S.A.","104.20"
"AALM.MC","Almirall, S.A.","13.40"
"VVIS.MC","Viscofan, S.A.","57.30"
"TTRE.MC","Técnicas Reunidas, S.A.","32.30"
"CCIRSA.MC","Cirsa Enterprises, S.A.","14.79"
"EENO.MC","Elecnor, S.A.","28.20"
"MMFEA.MC","MFE-Mediaforeurope N.V.","3.00"
"DDIA.MC","Distribuidora Internacional de Alimentación, S.A.","39.70"
"SSLR.MC","Solaria Energía y Medio Ambiente, S.A.","18.33"
"CCAF.MC","Construcciones y Auxiliar de Ferrocarriles, S.A.","59.40"
"HHBX.MC","HBX GROUP INTERNATIONAL PLC","7.85"
"HHOME.MC","Neinor Homes, S.A.","19.28"
"IIMC.MC","Inmocemento, S.A.","3.98"
"GGEST.MC","Gestamp Automoción, S.A.","3.18"
"MMEL.MC","Meliá Hotels International, S.A.","7.88"
"FFAE.MC","Faes Farma, S.A.","5.34"
"MMVC.MC","Metrovacesa S.A.","10.90"
"RRLIA.MC","Realia Business, S.A.","1.08"
"XXBRPP.MC","Bradespar S.A.","3.82"
"PPSG.MC","Prosegur Compañía de Seguridad, S.A.","2.73"
"XXBRPO.MC","Bradespar S.A.","3.32"
"AART.MC","Arteche Lantegi Elkartea, S.A.","23.40"
"PPHM.MC","Pharma Mar, S.A.","76.80"
"XXBRK.MC","Braskem S.A.","1.61"
"XXUSI.MC","Usinas Siderúrgicas de Minas Gerais S.A.","1.01"
"XXUSIO.MC","Usinas Siderúrgicas de Minas Gerais S.A.","1.01"
"LLDA.MC","Línea Directa Aseguradora, S.A., Compañía de Seguros y Reaseguros","1.12"
"YYCPS.MC","Castellana Properties Socimi, S.A.","9.10"
"AA3M.MC","Atresmedia Corporación de Medios de Comunicación, S.A.","5.10"
"AAEDAS.MC","Aedas Homes, S.A.","24.05"
"CCASH.MC","Prosegur Cash, S.A.","0.65"
"CCBAV.MC","Clínica Baviera, S.A.","53.00"
"CCOXG.MC","COX ABG GROUP, S.A.","9.44"
"RR4.MC","Renta 4 Banco, S.A.","19.00"
"EEAT.MC","AmRest Holdings SE","3.19"
"EENC.MC","ENCE Energía y Celulosa, S.A.","2.59"
"AADX.MC","Audax Renovables, S.A.","1.29"
"GGSJ.MC","Grupo Empresarial San José, S.A.","8.89"
"EEBROM.MC","EBRO EV Motors, S.A.","11.70"
"MMCM.MC","Miquel y Costas & Miquel, S.A.","14.25"
"YYATO.MC","Atom Hoteles SOCIMI, S.A.","16.10"
"DDOM.MC","Global Dominion Access, S.A.","3.40"
"AAMP.MC","Amper, S.A.","0.17"
"OOHLA.MC","Obrascón Huarte Lain, S.A.","0.36"
"AALC.MC","Altia Consultores, S.A.","7.10"
"PPRS.MC","Promotora de Informaciones, S.A.","0.34"
"TTUB.MC","Tubacex, S.A.","3.49"
"YYFID.MC","Fidere Patrimonio Socimi, S.A.","40.80"
"YYTST.MC","Testa Residencial SOCIMI, S.A.","3.12"
"TTLGO.MC","Talgo, S.A.","2.89"
"NNXT.MC","Nueva Expresión Textil, S.A.","0.90"
"AALNT.MC","Alantra Partners, S.A.","9.06"
"EEDR.MC","eDreams ODIGEO S.A.","3.17"
"IISUR.MC","Inmobiliaria del Sur, S.A.","17.60"
"IIZER.MC","izertis, S.A.","9.40"
"EECR.MC","Ercros, S.A.","3.46"
"NNAT.MC","Natac Natural Ingredients, S.A.","0.67"
"EENER.MC","Ecoener, S.A.","4.98"
"AARM.MC","Árima Real Estate SOCIMI, S.A.","8.10"
"OORY.MC","Oryzon Genomics S.A.","3.15"
"SSQRL.MC","Squirrel Media, S.A.","2.50"
"YYVIT.MC","Vitruvio Real Estate SOCIMI, S.A.","16.50"
"CCOXE.MC","Cox Energy, S.A.B. de C.V.","1.30"
"AATRY.MC","Atrys Health, S.A.","3.05"
"IIBG.MC","Iberpapel Gestión, S.A.","21.10"
"YYAI1.MC","All Iron Re I Socimi, S.A.","14.60"
"AATSI.MC","Aplicaciones y Tratamiento de Sistemas, S.A.","4.42"
"RRJF.MC","Laboratorio Reig Jofre, S.A.","2.71"
"PPRM.MC","Prim, S.A.","12.95"
"AAZK.MC","Azkoyen, S.A.","8.90"
"YYTRI.MC","Trivium Real Estate SOCIMI, S.A.","40.20"
"YYORE.MC","Olimpo Real Estate SOCIMI, S.A.","0.97"
"IINDXA.MC","Indexa Capital Group, S.A.","13.10"
"CCEV.MC","Compañía Española de Viviendas en Alquiler S.A.","8.05"
"YYLFG.MC","Lafinca Global Assets SOCIMI, S.A.","4.22"
"SSCBYT.MC","ByteTravel, S.A.","5.20"
"AAI.MC","Airtificial Intelligence Structures, S.A.","0.10"
"NNTH.MC","Naturhouse Health, S.A.","2.49"
"GGAM.MC","General de Alquiler de Maquinaria, S.A.","1.56"
"BBKY.MC","Berkeley Energia Limited","0.30"
"NNEA.MC","Nicolás Correa, S.A.","9.80"
"GGGR.MC","Greening Group Global S.A.","4.06"
"OOLE.MC","Deoleo, S.A.","0.23"
"SSNG.MC","Singular People, S.A.","1.96"
"YYGOP.MC","Gop Properties Socimi, S.A.","16.90"
"CCLR.MC","CLERHP Estructuras, S.A.","6.72"
"YYADV.MC","Advero Properties SOCIMI, S.A.","13.60"
"YYVCP.MC","Veracruz Properties SOCIMI, S.A.","31.80"
"VVYT.MC","Vytrus Biotech, S.A.","11.80"
"LLLYC.MC","Llorente & Cuenca, S.A.","7.00"
"AAPG.MC","Axon Partners Group, S.A.","15.50"
"LLIB.MC","Libertas 7, S.A.","3.72"
"MMAKS.MC","Making Science Group, S.A.","8.75"
"VVOC.MC","Vocento, S.A.","0.64"
"UUMB.MC","UMBRELLA GLOBAL ENERGY, S.A.","3.34"
"YYIPS.MC","Inversa Prime SOCIMI, S.A.","0.94"
"YYMIL.MC","Milepro Logística Última Milla Socimi, S.A.","27.40"
"AALQ.MC","Alquiber Quality, S.A.","12.30"
"EETC.MC","Energy Solar Tech, S.A.","2.40"
"FFACE.MC","Facephi Biometria, S.A.","2.43"
"SSCO.MC","Seresco S.A.","6.80"
"MMTB.MC","Montebalito, S.A.","1.81"
"EEIDF.MC","Energía, Innovación y Desarrollo Fotovoltaico, S.A.","0.91"
"PPANG.MC","Pangaea Oncology, S.A.","1.65"
"LLGT.MC","Lingotes Especiales, S.A.","5.55"
"AADZ.MC","Adolfo Domínguez, S.A.","5.55"
"SSOL.MC","Soltec Power Holdings, S.A.","0.55"
"AAGIL.MC","Agile Content, S.A.","2.16"
"EEZE.MC","Grupo Ezentis, S.A.","0.08"
"PPAR.MC","Parlem Telecom Companyia de Telecomunicacions, S.A.","2.44"
"TTRG.MC","Tubos Reunidos, S.A.","0.28"
"GGIGA.MC","Gigas Hosting, S.A.","3.44"
"4480S.MC","Soluciones Cuatroochenta S.A.","15.70"
"EENRS.MC","Enerside Energy, S.A.","0.93"
"EEND.MC","Endurance Motive, S.A.","3.45"
"MMDF.MC","Duro Felguera, S.A.","0.18"
"NNBI.MC","NBI Bearings Europe, S.A.","3.10"
"YYQUO.MC","Quonia Socimi, S.A.","1.28"
"DDESA.MC","Desarrollos Especiales de Sistemas de Anclaje, S.A.","19.00"
"LLAB.MC","Labiana Health, S.A.","4.56"
"YYINB1.MC","Inbest Prime I Inmuebles SOCIMI, S.A.","1.13"
"NNYE.MC","Nyesa Valores Corporación, S.A.","0.01"
"GGRI.MC","Griñó Ecologic, S.A.","0.96"
"RREN.MC","Renta Corporación Real Estate, S.A.","0.82"
"OOPTS.MC","Optare Solutions, S.A.","7.45"
"SSAI.MC","Substrate Artificial Inteligence, S.A.","0.06"
"HHLZ.MC","Holaluz-Clidom, S.A.","0.81"
"LLLN.MC","LleidaNetworks Serveis Telemàtics, S.A.","1.19"
"CCOM.MC","Catenon, S.A.","1.01"
"IIFLEX.MC","Iflex Flexible Packaging, S.A.","1.59"
"RRDG.MC","Redegal S.A.","7.00"
"BBST.MC","Biotechnology Assets, S.A.","0.19"
"EELZ.MC","Asturiana de Laminados, S.A.","0.10"
"RRIO.MC","Bodegas Riojanas, S.A.","2.36"
"RRBT.MC","Robot, S.A.","3.20"
"PPVA.MC","Pescanova, S.A.","0.28"
"HHAN.MC","Hannun S.A.","0.17"
"SSPH.MC","Profithol, S.A.","0.23"
"CCITY.MC","Club De Futbol Intercity Sad","0.04"
"VVANA.MC","Vanadi Coffee SA","0.09"
"GGRF-P.MC","Grifols SA","7.89"
"SSAI-B.MC","Substrate Artificial Inteligence SA","0.17"
"SSCGV.MC","Grandvoyage Travel S.A","4.08"
"SSCSS.MC","Innovative Simply Solar SA","5.00"
"TTRA.MC","TRAJANO IBERIA S.A.","0.34"
"TTRTK.MC","TREE TECHNOLOGY, S.A.","2.40"
"XXAXIA.MC","AXIA Energia SA","9.35"
"XXAXIC.MC","--","8.95"
"XXBBAR.MC","Banco BBVA Argentina S.A.","5.25"
"XXCOPO.MC","Companhia Paranaense de Energia - COPEL","2.20"
"XXSIGF.MC","SIGMA FOODS, S.A.B. de C.V.","0.87"
"YYHTI.MC","Hotei Properties Group Socimi S.A.","2.90"
